SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
CC#CC1=C(CCC1=C)C,5.05281059,-0.29768834,245.2
C=C[CH],2.45252743,-2.98531881,1402.17
C=C(F)F,7.5619369,0.10802767,151.24
CCCC=C=CC(=O)C,4.30559653,-1.85089222,400.17
C[C@H]1[C@@H]([C@H](CCO1)O)O,7.64384201,1.22422289,184.59
CC[C@@H](C)/C=C/O/C=C/C,5.86614738,0.53823358,222.09
CC1C=CC=CO1,4.88845615,-0.43102224,279.5
C[C@H](CO)OC(C)CO,7.73962473,1.35537991,182.99
CC#C[C@@H]([C@H](C)C=C)O,7.10588054,0.42340316,197.42
C#CCO[C@H]1CCC[C@@H]1O,7.82642782,0.96136463,188.82
CC[C@@H]([C@@](C)(CO)F)O,8.30806252,1.20054932,174.43
C/C=C/[C@@](C)(CC=C)O,6.66370179,0.15700747,203.26
C1C2COCOC2(O1)OC,9.3279308,2.23701631,150.45
CCOOC=O,6.49499359,-0.91945969,257.27
CC/C=C/C(C)(CC)O,6.58478989,0.25333441,208.05
CCOOCCCCCO,7.97255089,1.51728536,173.57
C=C[CH],2.45225532,-2.98531881,1402.74
C/C=C/[C@H](C)[C@H](CO)O,6.7102326,0.62884621,196.72
CC/C(=C/O)/C=C,5.44927486,0.10693923,237.25
C/C=C/[C@H](C)[C@H](CO)O,6.7102326,0.62884621,196.72
C[C@@H]1[C@@H]([C@H](C[C@H](O1)O)O)O,7.48356922,0.66558106,196.48
C=C1C2C1CC(CC2)C=O,5.77526264,-0.99075251,315.54
CC[C@@H]1C(=O)C=C[C@@]1(C)O,4.89090514,-1.61116331,371.58
C[C@@H](CO)O,8.52547841,1.55048278,172.86
C/C(=C/CCC=C)/CC#C,6.33281603,0.17278985,209.57
C[C@H]1C[C@H]2CC[C@@H]1C2(F),9.68031325,1.88653863,142.46
C#C[C@@]1(CCCC[C@H]1O)O,7.74942069,0.79945918,188.15
C#C[C@@H](CC1=CC=CC=C1)O,6.50478955,-0.07020438,227.44
CO[C@@H](CC=C)C[C@H]1CO1,6.94615197,0.32245035,201.37
C/C=C/[C@H]1C[C@H]1CO,6.5632932,0.31211017,200.29
CC(/C=C/C(=O)[O-])O,3.65933528,3.91539079,502.85
CC[C@@H]1CCCC1C,10.07487275,2.02368207,135.95
C=C(F)F,7.56248112,0.10829978,151.23
C[C@@H]1[C@@H]2C[C@H](CC1=O)C=C2,5.85281399,-0.64598914,308.29
C1C(O1)CCCOCC2CO2,8.8517383,1.85007589,159.81
C[C@H]1CC(CCC1=O)C=C,5.86995692,-0.51918588,307.45
C#C[C@@]1(CC(CC1)O)/C=C,6.86152576,0.12054473,198.26
CC#C[C@H]1CCCC[C@@H]1O,8.06833361,1.58123121,184.97
C=C(OCF)F,7.14152695,0.45768902,167.55
C=C[CH][CH]CO,2.30150638,-3.12028537,643.89
C[C@@H]([C@@]1(CCOC1=O)C)O,6.75621919,-0.2394568,250.5
C1[C@H]([C@H](C[C@H]([C@H]1O)O)O)O,7.67459044,0.843541,182.65
C=C[C@H](CCCC(=O)OC)O,6.6476473,-0.3074843,250.28
C1C=C[C@H](C2[C@@H]1COC2)O,6.76302194,0.1795926,201.38
C=COOC=O,5.56165629,-1.06313377,261.04
CO[C@@H]1[C@H]([C@@H](CO[C@H]1O)O)O,8.51486612,1.63755798,166.71
C(C(CCOCCO)O)CO,7.75459078,1.25524343,183.72
C=CO,7.20247959,0.95428977,198.19
C/C/C/C=C/CC(=O)C,5.59567004,-0.67728179,309.67
CC(=[O+]COC)C,4.21824922,-7.80302636,370.21
C=CO,7.20193537,0.95401766,198.19
C=C/C(=C/F)/F,5.27675712,-1.23401885,231.17
C=C/C(=C/F)/OO,4.76110867,-0.85796283,280.78
CC/C=C/C=C/CO,5.39621341,-0.49034222,227.09
