SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C12C(O2)C=CC3C1O3,5.54886712,-0.64245171,271.01
C[C@@H]1[C@@H]([C@H]1CO)C(=C)C,6.71621902,0.32299457,199.24
C[C@@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O,7.87840083,1.12435852,180.36
C[C@@H]1[C@@H]([C@H]([C@H](OO1)C)O)O,7.82506727,0.90313309,181.98
C1[C@H](OO)[C@@H](O1)CO,7.6299644,0.93415363,185.7
C[C@@H]1[C@@H]([C@H]([C@H]2C1O)CO2)O,7.60873982,0.92653455,187.87
C[C@@H]1[C@H]2[C@@H]1C3C4C2C34,7.63703926,1.83755883,184.18
C12CC[C@@]1(C2)C(=O)O,6.26859807,-0.54394789,256.22
C1[C@@H]2[C@H]1[C@H]([C@@H](C2)O)O,8.17119119,1.4312986,176.15
C12COOC2C1OC,7.69989667,1.58259176,193.78
C1[C@@H]2[C@H]1CC3[C@@H](C2)O3,8.55459418,1.91728706,162.43
C[C@@H]1C[C@@H]1O,8.38506965,1.77796674,175.43
C1[C@@H]2[C@H]1[C@H]3[C@H](C3)[C@@H]2O,7.84193809,1.49415601,182.46
C1[C@@H]2[C@H](O2)C=C[C@@H]3[C@H]1O3,5.81743969,-0.55156697,245.18
C[C@@H]1C[C@@H]1C,9.54480247,2.48790173,147.54
C1[C@H](OO[C@H]1C=O)C=O,5.15675661,-1.73823868,318.37
C1CCCC2C(CC=CO2)CC1,6.70587884,1.0122492,195.81
C[C@@H]1[C@@H]([C@H]1C2=CC=CO2)C,6.29853017,0.61632915,202.04
C1CC1CCCCCC2OCCO2,8.77445906,2.04653931,160.25
C[C@@H]1C[C@@H]1C=C,6.98397526,0.41523986,187.41
C1[C@H](OO)O[C@@H]1C(=O)O,5.61308508,-1.17197777,279.72
C[C@@H]1C[C@@H]1CO,8.55813161,1.71266034,171.82
C1[C@@H]2[C@H]1O[C@@H]3C[C@H]2C3,8.45636247,2.06395435,166.47
C[C@@H]1C[C@@H]1O,8.34942324,1.82558599,177.13
C12COC3C1OC(O2)O3,9.06997052,1.72109575,153.73
C[C@@H]1[C@@H]([C@H](C[C@H](O1)O)O)O,8.18452458,1.29578782,172.87
C[C@@H]1C[C@@H]1O,8.38479754,1.77769463,175.43
C[C@@H]1[C@H]2[C@@H]1[C@@H]3C=C[C@H]3O2,5.71757532,-0.51183891,247.87
C1[C@@H]2[C@H](C=C[C@H]2OO)O1,6.43186407,-0.13387812,226.28
C[C@@H]1[C@@H]([C@H]([C@@H]1CO)O)O,7.80003315,1.34912138,188.88
C[C@@H]1[C@@H]([C@H]1CO)CC=C,7.09445192,0.53496826,187.28
CC/C(=C/CCC(C)C)/C,6.6313207,0.69524105,186.7
CC[C@@H]1[C@@H](O1)CCCC(C)C,8.6558191,1.90531422,160.48
C[C@@H]1[C@@H]([C@H]1CO)C(=C)C,6.74996066,0.63619318,194.05
C[C@@H]1[C@@H]([C@H]1C(C)C)C,8.95704487,2.30041794,156.57
C[C@@H]1[C@@H]([C@H]([C@H]2C1O)CO2)O,7.59078056,1.02177305,190.23
C[C@@H]1[C@@H]([C@H](C[C@@H](O1)O)O)O,7.38833072,0.94939179,191.83
C[C@@H]1[C@@H]([C@H](CO1)C=C)O,6.76683148,0.10530657,207.77
C[C@@H]1C[C@@]1(C)C=O,5.75621494,-1.0394602,322.28
C[C@@H]1C[C@@H]1C,9.54453036,2.48790173,147.54
C[C@@H]1[C@H]2[C@@H]1[C@@H](CC2)O,8.6231659,1.88653863,169.37
C[C@@H]1[C@@H]([C@H]([C@@H](OO1)C)O)O,7.46152831,0.60979851,194.58
C[C@@H]1[C@@H]([C@H]([C@H](CO1)O)O)O,7.79023719,1.1129299,182.84
C[C@@H]1[C@@H]([C@H]([C@@H]1O)CCO)O,8.1061569,1.40463182,177.21
C12CC(OOC2)OC1,8.34751847,1.54123104,181.38
C[C@@H]1[C@H]2[C@@H]1C(=C)CC2,6.59621851,0.49088644,199.09
C12COOC=C2COC1=O,5.63893553,-1.02694314,264.52
C[C@@H]1[C@@H]([C@H]1C(O)(C)C)C,8.36275663,1.66830641,172.86
C1[C@@H]2[C@H](C[C@@H](O1)OO)OO2,7.02751286,1.10041284,216.43
C1[C@@H]2[C@H](C=C[C@H]1C=C2)O,6.14125059,-0.00489798,232.39
C1[C@@H]2[C@H](C[C@H](O1)O2)CO,8.2286064,1.35946156,172.56
C[C@@H]1[C@H]2[C@@H]1[C@H](C=C)CO2,6.61308933,0.21034103,210.76
C[C@@H]1C[C@@H]1O,8.34942324,1.82613021,177.13
C[C@@H]1C[C@@H]1C,9.54480247,2.48790173,147.54
C1[C@@H]2[C@H]1C[C@@H]3[C@H](C2)C3,9.02915402,2.16762826,152.44
C[C@@H]1C[C@@H]1CO,8.28085152,1.42449585,178.14
C1[C@H](O1)CO,8.3075183,1.29143406,176.34
CC/C(=C/C=C)/CCCCO,5.79703144,-0.36353896,238.03
C[C@@H]1C[C@@H]1C=O,5.83784794,-0.94721491,315.72
C[C@@H]1[C@@H]([C@H]1OC)C2OC2O,7.87187019,1.54939434,172.43
C[C@@H]1[C@@H]([C@H]([C@@H]1CO)CO)O,8.18071504,1.51429215,177.27
C1[C@H](O1)C2OO2,8.02153069,0.88898337,195.49
C1CC[C@H]([C@H](C1)CCO)CCO,8.51595456,1.63646954,174.26
C1[C@H](O1)CO,8.3619403,1.25878086,174.28
C[C@@H]1[C@@H]([C@H](C[C@H](O1)O)O)O,7.98860538,1.20844051,180.59
C12CCC(C1)C(=O)C2,5.88056921,-0.49741708,305.63
C1CCCC[C@H]2[C@H](O2)CCC1,8.92956176,2.03647124,157.72
C[C@@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O,7.92193843,1.115651,180.06
C[C@@H]1C[C@@H]1/C=C/C=O,4.97063337,-1.72844272,372.28
C[C@@H]1[C@H]2[C@@H]1C=C=CCC2,2.0789204,-2.07130132,1258.26
C[C@@H]1[C@@H]([C@H]1C2=CC=CO2)CO,6.32220374,0.63292786,200.62
C[C@@H]1[C@@H]([C@H]1C2=CC=CC2)C,5.42750606,-0.09605483,244.92
CC[C@@H]1[C@@H]([C@@H]1C=C)CC=C,6.80928064,0.26176982,204.22
C[C@@H]1C[C@@H]1OC,8.89092214,2.43973826,159.04
C1[C@@H]2[C@H]1O[C@@H]3[C@H]2COC3,8.22017099,1.77932729,172.21
C[C@@H]1C[C@@]1(C)OC,8.74888072,2.16980514,159.62
C[C@@H]1[C@H]2[C@@H]1C=C=CCC2,3.57226008,-1.29225039,461.71
C1CCCC[C@@H]2C[C@@H]2CCC1,8.89228269,2.06749178,156.89
C[C@@H]1[C@H]2[C@@H]1C=CCC=C2,5.98261046,0.08299355,238.5
C[C@@H]1[C@H]2[C@@H]1CC(C2)C,8.9034392,2.17715211,158.98
C[C@@H]1C[C@@]1(C)OC,8.74806439,2.16953303,159.63
C1[C@@H]2[C@H](COCO2)OCO1,8.84738454,1.82259278,161.47
C[C@@H]1C[C@@H]1/C=C/C=O,4.97036126,-1.72844272,372.28
C[C@@H]1[C@@H]([C@H]1CF)C(C)C=C,7.44139217,0.62095502,181.43
C1[C@@H]2[C@H]([C@H]1O)C[C@@H]3[C@H]2O3,8.12656515,1.3741555,175.48
C12CCC=CC(C1)C2,6.71757957,0.50857359,189.34
C1[C@H](O1)[C@@H]2CO2,9.13772591,1.93660687,158.68
C[C@@H]1C[C@@H]1OCC,8.68194166,2.25443135,162.76
C1[C@H](O1)[C@@H](O)O,8.11622497,1.12762384,175.78
CC/C(=C/C1CCCC1)/C,6.57064017,0.67374436,190.78
C[C@@H]1C[C@@H]1[C@@H](C)O,8.37445736,1.55592498,175.6
C[C@@H]1C[C@@H]1[C@@H](C)O,8.47976393,1.59238772,169.57
C1[C@H](O1)[C@H](O)O,8.57881197,1.25905297,166.47
C[C@@H]1[C@@H]([C@H]([C@@H]1C)O)CO,8.20357228,1.53170719,176.64
C1[C@H](O1)CC=O,5.77852796,-1.23918894,316.6
C1[C@@H]2[C@H](CCC(=C1)O2)O,5.03185812,-0.72517315,268.36
C1CCC[C@H](C[C@H](CC1)O)CO,8.19622531,1.38558412,176.97
C1[C@H](O[C@@H]1[O-])O,4.39756971,5.93907286,335.82
C1C[C@H]2[C@H]1OCCOCCCCOC2,8.22452475,2.19483926,170.39
C[C@@H]1C[C@@H]1C(F)F,9.75623194,1.90177679,143.97
C[C@@H]1C[C@@H]1[C@@H]([C@@H])O,2.67865084,-2.66640589,1354.6
C1[C@@H]2[C@H](C[C@@H]1O)C[C@@H]2O,8.08384388,1.28245443,176.13
CC[C@@H]1[C@@H]([C@@H](OC1=O)C)OC,6.60547025,-0.39809693,255.75
C[C@@H]1C[C@@H]1/C(=O)O,6.56519797,-0.5523833,261.15
C[C@@H]1C[C@@H]1C=C,6.95594793,0.70013903,179.52
C[C@@H]1[C@H]2[C@@H]1[C@H](C=C)CC2,7.20492858,0.56353981,189.01
C[C@@H]1C[C@@H]1C=[O+]C,4.12981347,-8.16112312,386.8
C[C@@H]1[C@@H]([C@H](C=CO1)O)OCO,6.57635448,0.58612494,202.2
C[C@@H]1C[C@@H]1/C=C/C=O,4.95729998,-1.77252454,373.87
C[C@@H]1C[C@@]1(C(=O)OC)O,5.99975339,-0.8897997,278.25
CC[C@@H]1[C@@]2(O1)CCOCOC2C,8.34806269,1.60898643,167.44
C[C@@H]1[C@H]2[C@@H]1C=CCCC2,6.75458653,0.49415176,198.32
C[C@@H]1C[C@@H]1/C=C/O,6.58098035,0.96626261,215.74
C[C@@H]1[C@@H]([C@H]1C=O)[C@@H](C)CCO,5.92274626,-0.598642,305.73
C[C@@H]1[C@@H]([C@H]1OC)C(C)C,8.37609002,2.13470295,166.05
C[C@@H]1C[C@@]12CCOC2=O,6.87458704,-0.30340265,244.24
C1[C@@H]([C@@](O1)(O)O)C=O,5.78941236,-1.3142913,319.08
C[C@@H]1C[C@@H]1/C(=CC=O)O,4.96165374,-1.30313479,371.7
C[C@@H]1C[C@@H]1CC=O,5.80111309,-0.89905144,317.07
C[C@@H]1[C@@H]([C@H]1CF)C(C)C=C,7.35948706,0.56734935,179.34
C[C@@H]1[C@@H]([C@@](C1=C)(C)O)C,6.93445124,0.41170243,208.4
C[C@@H]1C[C@@H]1[C@@H](C)O,8.55922005,1.78912325,171.82
C[C@@H]1[C@H]2[C@@H]1C3CCC2C3,8.58370995,1.98585878,165.83
C1[C@H](O[C@@H]1[O-])CO,3.08627162,4.73580244,491.78
C1[C@H](O1)[C@H](CO)O,7.78942086,0.90286098,186.09
C1[C@@H]([C@@](=C)O1)CO,6.93744445,0.60816585,183.79
C1[C@@H]([C@H]2[C@@H]1O2)O,7.95404741,1.11973265,179.65
C1[C@@H]([C@@]2([C@H]1O2)C=O)O,5.53716639,-1.57796589,324.6
C1[C@H](O[C@@H]2[C@H]1O2)O,8.79350676,1.57606112,159.8
C[C@@H]1C[C@@H]1C#CCOC,7.45445345,1.04027653,204.26
C12CCO[C@H]1C=CC2=CO,5.33471655,-0.03292531,231
C[C@@H]1[C@H]2[C@@H]1CCCCC2,8.90588819,2.2258598,158.11
C1[C@H](O[C@@H]1O)CO,8.39105607,1.551027,174.06
C1[C@@H]([C@@](CO1)(O)F)O,7.86506744,0.9632694,177.82
C1[C@@H]([C@@]1[C@@](CO)O)O,3.52790615,-2.17524734,411.25
C1[C@@H]([C@H]2[C@@H]1O2)O,7.95431952,1.12000476,179.64
C[C@@H]1C[C@@H]1OC(=O)C,6.73308984,-0.32517145,251.41
C[C@H]([C@@]12CCCC[C@@H]1O2)O,8.20765393,1.52490444,174.45
C12CCC=CC1CC2O,7.07404367,0.71673774,186.66
C[C@@H]1[C@@H]([C@H](C=CO1)OC)OC,6.72166122,0.8408199,193.6
C[C@@H]1C[C@@H]1/C=C/C=O,4.87267377,-1.89306927,382.87
C1[C@@H]([C@H]2[C@@H]1O2)O,8.2939128,1.17850841,177.04
C[C@@H]1[C@H]2[C@@H]1[C@@H]3C=C[C@H]2OC3,6.57308916,0.18095315,223.5
C[C@@H]1C[C@@H]1OCCO,7.84901295,1.48980225,177.94
C[C@@H]1C[C@@H]1[C@@H]2[C@H](O2)CO,8.33119187,1.35157037,174.67
C[C@@H]1C[C@@H]1CC(=O)C,5.93308644,-0.42503582,301.81
C1[C@H](O1)C([C@@H]2CO2)O,8.0898303,1.0557868,179.13
C[C@@H]1C[C@@H]1/C=C/C(=O)OC,5.54913923,-1.45769327,295.12
C[C@@H]1C[C@@H]1CCO,8.34425315,1.57905433,176.3
C1[C@H](O[C@@H]1/C=O)CO,5.4258734,-1.29197828,325.83
C[C@@H]1[C@@H]([C@H]1OC)CC(C)C,8.26642969,2.07429453,166.38
C1[C@@H]([C@@H]2[C@H]1O2)O,8.20166751,1.30531167,173.16
C[C@@H]1C[C@@H]1/C=C/OC=C,5.87349435,0.13714344,224.51
C1[C@@H]2[C@H](CC[C@H]1O)C[C@@H]2O,8.1061569,1.34884927,176.24
C1[C@@H]([C@@](=O)[C@@H](O1)CO)O,5.09036177,-1.62340826,363.01
C[C@@H]1[C@H]2[C@@H]1CC=CC3C2C3,6.80275,0.58313173,196.7
C[C@@H]1C[C@@H]1/C(=CC)C,6.47567378,0.53823358,193.86
C[C@@H]1C[C@@H]1[C@@H](C)O,8.37391314,1.55538076,175.61
C[C@@H]1[C@@H]([C@H]1COC)OCOC,8.77500328,2.17715211,157.94
C[C@@H]1C[C@@]1(C)CC(=O)C,5.70777936,-0.64163538,313.24
C[C@@H]1[C@@H]([C@H]1C2CCCCC2)O,8.12357194,1.82667443,180.9
C[C@@H]1[C@@H]([C@H]1C(COC)CO)O,7.69908034,1.46640079,181.98
C[C@@H]1C[C@@H]1[C@@H]2C[C@@H]2C,8.72085339,2.17742422,161.75
C1[C@@H]([C@@H]2[C@H]1O2)O,8.20166751,1.30531167,173.15
C1[C@H](O[C@@H]1/C=C/C=O)O,4.87920441,-2.05470261,382.08
C[C@@H]1C[C@@H]1/C=C/CO,6.39567344,0.04598659,213.71
C1CC[C@H]([C@H](C1)CCO)CCCO,8.31078362,1.48653693,173.08
C1[C@@H]([C@@H]2[C@H]1O2)O,8.20221173,1.30558378,173.14
C[C@@H]1C[C@@H]1C[C@@H](O)O,8.34044361,1.36163844,172.15
C[C@@H]1C[C@@H]1C(C)C,9.42126453,2.33143848,147.44
C1[C@@H]([C@H]2[C@@H](C1=O)O2)O,5.51621392,-1.51510848,331.54
C1[C@@H]([C@H](C=C1)O)O,7.21472454,0.571431,195.67
CC/C/1(CC2CCC1)CC2,9.59024484,1.89687881,142.9
C1[C@@H]([C@H]2[C@@H](C1=O)O2)O,5.55811886,-1.30177424,327.08
C1[C@@H]([C@@H]2[C@H]1C2)O,7.87295863,1.54150315,183.4
C[C@@H]1C[C@@H]1C#CC2CC2,7.18860198,1.21660381,212.69
C[C@@H]1[C@@H]([C@H](C1(C)C)C)C,9.224529,2.0000085,149.89
C1[C@H](O1)CC[C@@H]2CO2,9.62371437,2.54558905,150.34
C1[C@@H]([C@@H]2[C@H]1C2)O,7.70098511,1.61279597,187.36
C[C@@H]1C[C@@H]1C[C@@H](C)O,8.44248486,1.52163912,173.32
C1[C@@H]([C@H]2[C@@H]1O2)CO,8.30044344,1.51265949,171.74
C[C@@H]1C[C@@]12/CC[C@@H]2C=C,7.14778548,0.66694161,190.9
C1[C@@H]([C@@H]2[C@H]1O2)O,8.20221173,1.30558378,173.14
C1[C@@H]([C@H]2[C@@H]([C@@H]1O2)O)O,8.09064663,1.39755696,175.37
C[C@@H]1[C@@H]([C@H]1COCC(C)C)C,8.53772336,2.15184588,163.98
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.17200752,1.3714344,171.12
C[C@@H]1C[C@@H]1C#CCCC,7.64248146,1.42884961,198.91
C1[C@@H]([C@@H]2[C@H]1C2)O,7.91758467,1.65252403,179.79
C1[C@@H]([C@@H]2[C@H]1O2)O,8.12874203,1.1374198,177.44
C1[C@@H]([C@H]2[C@H](O1)CO2)O,7.57608662,0.78803056,192.61
C[C@@H]1[C@H]2[C@@H]1C(CCCC2)O,8.1034358,1.51238738,179.47
C1[C@@H]([C@@H]2[C@H]1O2)C=O,5.68873166,-1.37633238,317.27
C[C@@H]1C[C@@H]1[C@@H]([C@@H](C)C=O)O,5.75349384,-1.03320167,302.83
C1[C@@H]([C@H](O[C@H]1O)O)O,7.93173439,1.05252148,180.33
C1[C@@H]([C@@H]2[C@H]1C2(F)F)F,8.66615928,1.14122934,166.76
C[C@@H]1C[C@@H]1/C(C)(C)O,8.20792604,1.44735309,175.75
C1[C@@H]([C@H]2[C@@H]([C@@H]1O)O2)O,8.12738148,1.31918928,177.97
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.09717727,1.26313462,172.33
C1[C@H](O[C@@H]1[C@@H](CO)O)O,8.20547705,1.2625904,170.27
C1[C@@H]([C@H](CC1O)O)O,8.04166683,1.30259057,179.67
C1[C@@H]([C@H](C[C@H]1O)O)O,8.12765359,1.35891734,177.76
C=C[C@H]([C@H]1OCCCO1)O,7.24982673,0.58394806,186.21
C1[C@@H]([C@@H]2[C@H](C1=O)O2)O,5.56492161,-1.29878103,327.35
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.08302755,1.30150213,170.6
C1[C@@H]([C@@H]2[C@H]1O2)O,7.88982945,1.16435869,182.4
C1[C@@H]([C@H]2O[C@@H]1[C@H]2O)O,7.9619386,1.26286251,180.32
C[C@@H]1C[C@@H]1[C@@H]2[C@H](O2)CO,8.08792553,1.40544815,176.73
C1[C@H](O1)[C@H]2OCCC2O,7.91459146,1.11973265,175.79
C[C@@H]1C[C@@H]1/C(=C/C)/C,6.64329354,0.66694161,190.87
C1[C@@H]([C@H]([C@@H]2[C@H]1O2)C)O,8.36057975,1.37197862,173.84
C1[C@H](O[C@@H]1[C@H](O)O)CO,7.61118881,0.97388169,187.17
C1[C@H](O1)[C@@H](OC[C@@H]2CO2)O,7.95676851,0.84843898,175.7
C1[C@@H]([C@H](O[C@@H](O1)O)O)O,7.89989752,0.67320014,183.27
C1[C@H](O1)[C@H]([C@@H](CO)O)O,7.41309273,0.99156884,193.77
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,8.20438861,1.29170617,175.09
C[C@@H]1C[C@@H]1/C=C/OCC,6.37989106,0.81714633,198.47
C1[C@@H]([C@H]2[C@@H]1O2)OCCO,7.92874118,1.2462638,178.94
C1[C@@H]([C@@H]2[C@H]([C@@H]1O)O2)O,8.21690567,1.10884825,175.42
C1[C@@H]([C@H](C=CO1)O)O,6.75268176,0.54422,192.94
C12[C@H]3[C@@H]2[C@@H](O1)O3,7.39703824,0.74422085,195.44
C1[C@@H]([C@H]([C@@H](O1)CO)O)O,7.73826418,1.08054881,180.38
C1[C@@H]([C@H](O[C@H]1[O-])CF)O,3.57144375,5.05498747,422.46
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,8.03595252,1.12517485,181.09
C[C@@H]1C[C@@]12C[C@@H](CC2=O)C,5.82070501,-0.62911832,304.26
C[C@@H]1C[C@@H]1C(=O)C(C)C,5.75267751,-0.71619352,315.44
C1[C@@H]([C@@H]2[C@H]1O2)O,8.2013954,1.30503956,173.16
C1[C@@H]([C@H]2[C@@H]1C2)OC=C=O,3.75321323,-1.92408981,580.15
C[C@@H]1[C@@H]([C@H]1C2CCCCC2)O,8.06343563,1.77306876,182.08
C1[C@@H]([C@H]2[C@@H](O1)C3[C@H]2O3)O,7.63758348,1.16245392,184.04
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.17200752,1.37089018,171.12
C1[C@@H]([C@@H]2[C@H]([C@H]1O)O2)O,8.17608917,1.22259023,173.11
C1[C@@H]([C@H](O[C@@H]1CO)O)O,8.43731477,1.39565219,170.05
C[C@@H]1C[C@@H]1C[C@@H]2C[C@@H]2C=C,6.92138996,0.41714463,193.33
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,8.0354083,1.12463063,181.11
C1[C@@H]([C@H]2[C@@H]1CC=C2)O,7.23241169,0.9986437,183.7
C1[C@@H]([C@@H]2[C@H]1O2)OC,8.3211238,1.63483688,168.37
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,7.97581621,1.06531065,179.43
C1[C@@H]([C@@H]2[C@H]1O2)OC=O,6.06968566,-1.10721559,253.57
C[C@@H]1C[C@@H]1/C=C/[C@H](C)O,6.57744292,0.21578323,203.12
C1[C@@H]([C@H]([C@@H](O1)CO)O)O,7.95214264,1.2734748,183.06
C1[C@@H]([C@@H]2[C@H]1O2)C=O,5.68900377,-1.37606027,317.26
C[C@@H]1C[C@@H]1[C@@H]2C[C@@H]2CO,8.27731409,1.70694603,174.09
C1[C@@H]([C@H]([C@H]([C@H]1O)O)O)O,7.41989548,0.60734952,192.51
C1[C@@H]([C@H]2OCOC1O2)O,8.21091925,1.26966526,174.86
C1[C@@H]([C@@H]2[C@H]([C@@H]1O)O2)O,8.12765359,1.05415414,173.86
C[C@@H]1C[C@@H]1[C@@H]2C[C@H]2CO,8.19214366,1.66177577,174.62
C[C@@H]1C[C@@H]1CC2=CC=CC=C2,6.47921121,0.15673536,227.48
C1[C@@H]([C@H](O[C@H]1O)CO)O,8.32166802,1.38694467,175.17
C1[C@@H]([C@H]2[C@@H]3C=C2C1O3)O,2.26259465,-2.42069056,803.88
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.0979936,1.26313462,172.32
C12[CH]3[O+]1C(C2=O)OO3,5.08655223,-8.2939128,352.19
C1[C@H](O[C@@H]([C@@H]1O)O)CC=O,6.04138622,-0.79782652,303.88
C1[C@H](O1)[C@@H](CCCC=O)O,5.99512752,-1.05741946,308.61
C1[C@@H]([C@H]([C@@H]([C@H]1O)O)O)O,7.3959498,0.66694161,197.63
C1[C@@H]([C@H](OC1O)CO)O,8.01309528,1.28898507,178.71
C[C@@H]1C[C@@H]1[C@H]2C=CC=C2C=O,4.44954272,-1.95592668,387.97
C[C@@H]1[C@@H]([C@H](O[C@@H]1CO)OC)CO,7.69908034,0.92979987,179.88
C1[C@H](O[C@@H]2[C@H]1O)CC2O,8.01064629,1.33959753,174.91
C1[C@@H]([C@@H]2C(C1=O)O2)O,5.49226824,-1.33442744,331.34
C1[C@@H]([C@H]2[C@@H](O2)COC1)O,7.81717608,1.05116093,185.66
C1[C@@H]([C@@H]([C@H](O1)CO)O)F,7.83050947,1.08490257,177.52
C1[C@@H]([C@H](O[C@H]1O)CO)O,8.32520545,1.32354304,173.16
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,7.918401,1.10558293,183.88
C[C@@H]1C[C@@H]1C(C(C)C)O,8.65609121,1.81279682,169.53
C1[C@@H]([C@H](COC1O)O)O,8.0680615,1.09497064,177.34
C[C@@H]1[C@H]2[C@@H]1C(=O)CCCCC2,5.7850586,-0.59945833,311.96
C1[C@H](O1)[C@@H](CCCCO)O,8.190511,1.30966543,176.47
C1[C@@H]([C@@H]2[C@H]([C@@H]1O)O2)O,8.12738148,1.05442625,173.85
C1[C@@H]([C@H](OCO1)CO)O,7.99323125,1.14231778,178.86
C1[C@@H]([C@H]([C@@H]1O)CO)CO,7.96030594,1.5591903,176.42
C1[C@H](O[C@@H]1[C@H](CO)O)CO,7.85880891,1.23293041,181.78
C1[C@@H]([C@@H]2[C@H](C1=O)O2)O,5.5646495,-1.29878103,327.37
C[C@@H]1C[C@@H]1C[C@@H]2C[C@@H](C2)O,8.26534125,1.48000629,179.17
C12[CH]OC[C]2[CH][CH]1,1.48436005,-3.34259924,1267.22
C1[C@@H]([C@@H]2[C@H]1O2)CO,8.00874152,1.08163725,176.79
C[C@@H]1C[C@@H]1CCCC2CC2,9.16793012,2.30803702,151.1
C1[C@@H]([C@H](CC(O1)O)O)O,7.85282249,1.01034443,176.9
C1[C@@H]([C@@H]2[C@H]1C2CO)O,7.57935194,1.47401987,187.77
C1[C@@H]([C@@H]2[C@H]1C2CO)O,7.75214179,1.44980208,184.43
C1[C@@H]([C@H](CO[C@@H]1O)O)O,7.79785627,0.94721491,184.73
C[C@@H]1[C@H]2[C@@H]1[C@@H](CCCCC2)O,8.26615758,1.70993924,174.95
C1[C@@H]([C@@]2([C@H]1O2)C=O)O,5.44192789,-1.6734765,337.93
C1[C@@H]([C@@H]2[C@H]1O2)OCCO,8.18398036,1.21497115,170.84
C1[C@@H]([C@H]([C@H]([C@H]1O)O)O)O,7.41554172,0.62149924,197.39
C1[C@@H]([C@H](O[C@@H]1O)CO)O,7.69118915,0.92680666,185.37
C[C@@H]1C[C@@H]1/C=C/[C@H]2C[C@@H]2C,6.47458534,0.35673621,201.28
C1[C@@H]([C@H]([C@@H](O1)CO)O)O,7.91676834,1.10803192,176.83
C1[C@@H]([C@H]([C@@H]([C@H]1O)O)O)O,8.11377598,1.27918911,178.54
C12[CH]O[CH][C]1[C]2C=C,1.86041607,-3.58613769,1242.88
C1[C@@H]([C@@H]2[C@H]1CC=C2)O,7.1047921,0.75782635,187.01
C1[C@H](O[C@@H]([C@H]1O)CO)CO,7.4476507,0.93279308,188.38
C1[C@@H]([C@@H]2[C@H]1CC=C2)O,7.29771809,0.87809897,181.91
C1[C@@H]([C@@H]2C([C@H]1O)O)OO2,6.48900717,0.16625921,247.5
C1[C@H](O[C@@H]1/OC(=O)CCO)C,6.56438164,-0.65333611,259.84
C1[C@@H]([C@@H]2CO[C@H]1O2)O,8.08248333,1.27510746,173.87
C1[C@@H]([C@H]([C@@H]1O)CO)CO,8.25663373,1.56599305,174.78
C1[C@H](O[C@@H]1[C@H](CO)O)CO,7.45526978,1.08490257,189.99
C1[C@@H]([C@@H]2[C@@H](O1)COC2)O,8.07867379,1.14966475,176.86
C12[C@H]3[C@@H]2[C@H]4[C@@H]1C4C3,7.12764934,2.10803617,205.53
C12[CH]OC1[C@@]3C[C@H]2O3,1.21823647,-3.74205672,1133.07
C1[C@@H]([C@@H]2[C@H](O1)CO2)O,7.95568007,1.24789646,179.29
C[C@@H]1C[C@@H]1/C(CCCC)O,8.60194132,1.80082398,170.54
CC1=CO[C@@H]1O,5.99403908,0.03700696,225.11
C[C@@H]1[C@@H]([C@H](O[C@@H]1CO)CCO)C,7.81908085,1.32544781,178.63
CC1OCO1,8.60983251,1.84817112,172.03
C[C@@H]1C[C@@H]1[C@@H](C(C)C)O,8.44520596,1.66068733,172.38
C1[C@@H]([C@H](OC[C@@H](O1)O)O)O,8.23622548,1.09551486,174.64
C1[C@@H]([C@@H]2[C@H]([C@@H]1O)O2)O,8.21799411,1.15810016,176.96
C1[C@H](O[C@@H]2[C@H]1CC=CC2)O,7.10098256,0.53823358,188.75
C1[C@@H]([C@@H]2CO[C@H]1O2)O,8.08275544,1.27510746,173.87
C1[C@@H]([C@H]([C@@H]1O)CO)CO,8.37336892,1.6571499,173.17
C[C@@H]1[C@H]2[C@@H]1[C@H](CCCCC2)O,8.23486493,1.63021101,175.22
C1[C@@H]([C@H](CC[C@@H]1O)O)O,8.24710988,1.29660415,173.51
CC1OCO1,8.60928829,1.8476269,172.05
C1[C@@H]([C@H]([C@@H]1O)CO)CO,8.38017167,1.65116348,173.79
CC1=C(OC=C1)O,6.19104672,0.89034392,231.08
C1[C@@H]([C@@H]2[C@H]1CC=C2)O,7.29744598,0.87809897,181.91
CC1OC=CO1,6.40628573,1.061229,200.96
C1[C@@H]([C@H]([C@@H]1[C@@H](CO)O)O)O,7.63948825,1.21225005,187.47
C1[C@@H]([C@H]([C@H]1C(=O)O)O)CO,6.44683012,-0.58802971,257.24
C1[C@@H]([C@H]2O[C@@H]1CO[C@@H]2O)O,7.67595099,1.01796351,184.99
C1[C@@H]([C@@]2([C@H]1[C@@H]2O)O)O,6.96275068,1.26884893,208.44
